model,beta,n_char,p,q,sigma_max,sigma_min,label,mm,beta_sd,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.123,3.146926933168466,0.32014698100453887,0.8203407365159138,0.5476156893721766,0.2738078446860883,0.4101703682579569,0.2700000000000031
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.124,3.034826059440431,0.30416437595902057,0.7676080363101884,0.5231336403377063,0.26156682016885313,0.3838040181550942,0.25900000000000034
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.125,2.5092350253394473,0.2387552036667588,0.6965384982379199,0.5099036041000111,0.25495180205000556,0.34826924911895996,0.29299999999999926
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.126,2.863065350331628,0.2655992621475122,0.7838489488083081,0.5509854812880384,0.2754927406440192,0.39192447440415407,0.31099999999999994
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.127,3.2057893735044645,0.3201061551953586,0.83140760969540894,0.5427441013508104,0.2713720506754052,0.41570380484770447,0.2849999999999966
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.128,3.011146681117432,0.3037753881475121,0.7759678986764309,0.5357991947541895,0.26789959737709473,0.38798394933821545,0.2989999999999995
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.129,3.155353140604666,0.31165576109113197,0.795647027362144,0.5289971201266925,0.26449856006334627,0.397823513681072,0.2950000000000017
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.130,2.5089089291464073,0.22759473559872698,0.683436005681652,0.5181277898136704,0.2590638949068352,0.341718002840826,0.28600000000000136
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.131,2.659450177246441,0.2376583800608376,0.7213010109034652,0.5275651996845098,0.2637825998422549,0.3606505054517326,0.3130000000000024
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Multinomial MLE,r1.132,2.8254020047868598,0.26364020652128944,0.7403039289908698,0.5315632882256668,0.2657816441128334,0.3701519644954349,0.2839999999999989
