model,beta,n,p,q_char,sigma_max,sigma_min,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.77,9.740659120899577,0.5788400183641151,1.2393157187228938,0.6591473686515602,0.3295736843257801,0.6196578593614469,0.07399999999999984
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.78,8.841040889968621,0.484923008525541,1.0951898421450326,0.6608317532468961,0.33041587662344807,0.5475949210725163,0.07699999999999996
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.79,10.122975655606506,0.5888587543697332,1.2484434765554122,0.6434895643428,0.3217447821714,0.6242217382777061,0.0779999999999994
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.80,9.29465899554215,0.5187000353703132,1.158386494705704,0.6571263651756651,0.32856318258783257,0.579193247352852,0.08200000000000074
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.81,7.80753059273153,0.3804378574928369,0.9428166960247815,0.6499458259594849,0.32497291297974246,0.47140834801239073,0.07499999999999929
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.82,7.98588166363744,0.3790725065269037,0.9571808432736224,0.6509909825013072,0.3254954912506536,0.4785904216368112,0.07399999999999984
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.83,8.660792044169414,0.4385795726622286,1.0513156882257981,0.6569885790472874,0.3284942895236437,0.5256578441128991,0.08000000000000007
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.84,9.238383920902262,0.5179177844276589,1.1542445200691631,0.6554322870182643,0.32771614350913214,0.5771222600345816,0.07399999999999984
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.85,9.12118360977022,0.5033495747788237,1.1163814514277244,0.6490640916157363,0.32453204580786815,0.5581907257138622,0.07200000000000095
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.86,8.715983881639188,0.4203425930584168,1.0465203928296938,0.6479649536804081,0.32398247684020404,0.5232601964148469,0.07399999999999984
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.87,9.290979902567674,0.5181614716459855,1.1129036215442694,0.6379961157925037,0.31899805789625185,0.5564518107721347,0.08200000000000074
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.88,7.82663764402327,0.362430166723884,0.8913893529723573,0.6169170341626281,0.30845851708131405,0.44569467648617866,0.07299999999999862
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.89,8.947512366159962,0.45188179714706067,1.0626181158558756,0.6541838033616287,0.32709190168081437,0.5313090579279378,0.0730000000000004
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.90,9.722487107357912,0.5589442518923909,1.2054660418465353,0.6563543984312193,0.32817719921560967,0.6027330209232676,0.07600000000000051
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.91,8.455521187630438,0.42750125746697026,1.042397887764119,0.6515972748707088,0.3257986374353544,0.5211989438820595,0.08000000000000007
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.92,8.74397695449428,0.4727083833284105,1.0750480557078514,0.6520615091556249,0.32603075457781244,0.5375240278539257,0.07499999999999929
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.93,8.849671205092884,0.4545328991592236,1.0558944400039287,0.6541282313904676,0.3270641156952338,0.5279472200019644,0.0730000000000004
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.94,9.010702803211753,0.493620315544599,1.0928985370293984,0.648074108940196,0.324037054470098,0.5464492685146992,0.0730000000000004
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.95,8.940955868502146,0.4720159726390161,1.0714705517497018,0.6416539892447144,0.3208269946223572,0.5357352758748509,0.08000000000000007
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.96,10.035932014549635,0.6185202502256947,1.3001263341444933,0.6637574204970345,0.33187871024851723,0.6500631670722467,0.07699999999999996
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.97,8.182709372499069,0.38731241602864647,0.9973624363630602,0.6544695350429346,0.3272347675214673,0.4986812181815301,0.07699999999999996
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.98,8.361886491650521,0.3990710430898046,0.9983960571223173,0.6527751752494443,0.32638758762472214,0.49919802856115864,0.07399999999999984
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.99,9.526554133015052,0.5309081634376543,1.1947597138105444,0.6596610020452445,0.32983050102262224,0.5973798569052722,0.0779999999999994
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Multinomial MLE,r1.100,8.806368804424347,0.4889832923558292,1.129848578045228,0.6582632804439703,0.32913164022198516,0.564924289022614,0.07200000000000095
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Zero-replace,r1.1,8.255248195690642,0.40555505757517113,1.0024009483796945,0.6489138649898692,0.3244569324949346,0.5012004741898473,4.022
aitchison-model-alpha,beta_sd_1,n_20,p_2,60,sigma_max_5,sigma_min_0.01,Zero-replace,r1.2,9.13789153623885,0.47492523567540684,1.1290034081521079,0.6691862094371973,0.33459310471859866,0.5645017040760539,0.07200000000000006
